Дата	Профессия	Сотрудник	Сумма	Отделение
10.05.2016	аудитор	Любимов	350,00	Пушкинская
10.04.2016	аудитор	Лукин	350,00	Чистые пруд
10.05.2016	аудитор	Мазур	350,00	Пушкинская
10.03.2016	аудитор	Пупенко	350,00	Главный
10.02.2016	аудитор	Писков	350,00	Чистые пруд
10.10.2016	аудитор	Фадеева	350,00	Студенческа
10.10.2016	аудитор	Лукин	350,00	Чистые пруд
10.10.2016	аудитор	Плеханов	350,00	Арбатская
10.10.2016	аудитор	Усмаанов	350,00	Арбатская
10.10.2016	аудитор	Рябов	350,00	Бибирево
10.10.2016	аудитор	Лещенко	350,00	ВДНХ
10.10.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.10.2016	аудитор	Королев	350,00	Университет
10.10.2016	аудитор	Трофимова	350,00	Кузьминки
10.11.2016	аудитор	Кустов	350,00	Главный
10.11.2016	аудитор	Березовский	350,00	Главный
10.11.2016	аудитор	Пупенко	350,00	Главный
10.11.2016	аудитор	Мазур	350,00	Пушкинская
10.11.2016	аудитор	Любимов	350,00	Пушкинская
10.10.2016	аудитор	Даренко	350,00	Главный
10.09.2016	аудитор	Рябов	350,00	Бибирево
10.09.2016	аудитор	Лещенко	350,00	ВДНХ
10.09.2016	аудитор	Фадеева	350,00	Студенческа
10.09.2016	аудитор	Королев	350,00	Университет
10.09.2016	аудитор	Трофимова	350,00	Кузьминки
10.10.2016	аудитор	Писков	350,00	Чистые пруд
10.10.2016	аудитор	Березовский	350,00	Главный
10.10.2016	аудитор	Пупенко	350,00	Главный
10.10.2016	аудитор	Мазур	350,00	Пушкинская
10.10.2016	аудитор	Любимов	350,00	Пушкинская
10.10.2016	аудитор	Перминов	350,00	Пушкинская
10.09.2016	аудитор	Усмаанов	350,00	Арбатская
10.12.2016	аудитор	Лукин	350,00	Чистые пруд
10.12.2016	аудитор	Мазур	350,00	Пушкинская
10.12.2016	аудитор	Любимов	350,00	Пушкинская
10.12.2016	аудитор	Перминов	350,00	Пушкинская
10.12.2016	аудитор	Писков	350,00	Чистые пруд
10.12.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.12.2016	аудитор	Пупенко	350,00	Главный
10.12.2016	аудитор	Плеханов	350,00	Арбатская
10.12.2016	аудитор	Усмаанов	350,00	Арбатская
10.12.2016	аудитор	Рябов	350,00	Бибирево
10.12.2016	аудитор	Лещенко	350,00	ВДНХ
10.12.2016	аудитор	Фадеева	350,00	Студенческа
10.12.2016	аудитор	Королев	350,00	Университет
10.11.2016	аудитор	Перминов	350,00	Пушкинская
10.11.2016	аудитор	Рябов	350,00	Бибирево
10.11.2016	аудитор	Писков	350,00	Чистые пруд
10.11.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.11.2016	аудитор	Лукин	350,00	Чистые пруд
10.11.2016	аудитор	Плеханов	350,00	Арбатская
10.11.2016	аудитор	Усмаанов	350,00	Арбатская
10.12.2016	аудитор	Березовский	350,00	Главный
10.11.2016	аудитор	Лещенко	350,00	ВДНХ
10.11.2016	аудитор	Фадеева	350,00	Студенческа
10.11.2016	аудитор	Королев	350,00	Университет
10.11.2016	аудитор	Трофимова	350,00	Кузьминки
10.12.2016	аудитор	Кустов	350,00	Главный
10.06.2016	аудитор	Перминов	350,00	Пушкинская
10.07.2016	аудитор	Лукин	350,00	Чистые пруд
10.07.2016	аудитор	Мазур	350,00	Пушкинская
10.07.2016	аудитор	Любимов	350,00	Пушкинская
10.07.2016	аудитор	Перминов	350,00	Пушкинская
10.07.2016	аудитор	Писков	350,00	Чистые пруд
10.07.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.07.2016	аудитор	Пупенко	350,00	Главный
10.07.2016	аудитор	Плеханов	350,00	Арбатская
10.07.2016	аудитор	Усмаанов	350,00	Арбатская
10.07.2016	аудитор	Рябов	350,00	Бибирево
10.07.2016	аудитор	Лещенко	350,00	ВДНХ
10.07.2016	аудитор	Фадеева	350,00	Студенческа
10.07.2016	аудитор	Королев	350,00	Университет
10.07.2016	аудитор	Трофимова	350,00	Кузьминки
10.06.2016	аудитор	Рябов	350,00	Бибирево
10.06.2016	аудитор	Писков	350,00	Чистые пруд
10.06.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.06.2016	аудитор	Лукин	350,00	Чистые пруд
10.06.2016	аудитор	Плеханов	350,00	Арбатская
10.06.2016	аудитор	Майский	350,00	Арбатская
10.07.2016	аудитор	Березовский	350,00	Главный
10.06.2016	аудитор	Лещенко	350,00	ВДНХ
10.06.2016	аудитор	Фадеева	350,00	Студенческа
10.06.2016	аудитор	Королев	350,00	Университет
10.06.2016	аудитор	Пасечник	350,00	Кузьминки
10.07.2016	аудитор	Даренко	350,00	Главный
10.09.2016	аудитор	Плеханов	350,00	Арбатская
10.09.2016	аудитор	Мазур	350,00	Пушкинская
10.08.2016	аудитор	Королев	350,00	Университет
10.08.2016	аудитор	Трофимова	350,00	Кузьминки
10.09.2016	аудитор	Даренко	350,00	Главный
10.09.2016	аудитор	Березовский	350,00	Главный
10.09.2016	аудитор	Пупенко	350,00	Главный
10.08.2016	аудитор	Фадеева	350,00	Студенческа
10.09.2016	аудитор	Любимов	350,00	Пушкинская
10.09.2016	аудитор	Перминов	350,00	Пушкинская
10.09.2016	аудитор	Писков	350,00	Чистые пруд
10.09.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.09.2016	аудитор	Лукин	350,00	Чистые пруд
10.08.2016	аудитор	Даренко	350,00	Главный
10.08.2016	аудитор	Писков	350,00	Чистые пруд
10.08.2016	аудитор	Березовский	350,00	Главный
10.08.2016	аудитор	Пупенко	350,00	Главный
10.08.2016	аудитор	Мазур	350,00	Пушкинская
10.08.2016	аудитор	Любимов	350,00	Пушкинская
10.08.2016	аудитор	Перминов	350,00	Пушкинская
10.08.2016	аудитор	Лещенко	350,00	ВДНХ
10.08.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.08.2016	аудитор	Лукин	350,00	Чистые пруд
10.08.2016	аудитор	Плеханов	350,00	Арбатская
10.08.2016	аудитор	Усмаанов	350,00	Арбатская
10.08.2016	аудитор	Рябов	350,00	Бибирево
10.12.2016	аудитор	Трофимова	350,00	Кузьминки
10.02.2016	аудитор	Даренко	350,00	Главный
10.01.2016	аудитор	Лещенко	350,00	ВДНХ
10.01.2016	аудитор	Лукин	350,00	Чистые пруд
10.02.2016	аудитор	Пупенко	350,00	Главный
10.01.2016	аудитор	Королев	350,00	Университет
10.01.2016	аудитор	Плеханов	350,00	Арбатская
10.01.2016	аудитор	Мазур	350,00	Пушкинская
10.02.2016	аудитор	Березовский	350,00	Главный
10.01.2016	аудитор	Рябов	350,00	Бибирево
10.01.2016	аудитор	Пасечник	350,00	Кузьминки
10.01.2016	аудитор	Любимов	350,00	Пушкинская
10.01.2016	аудитор	Перминов	350,00	Пушкинская
10.01.2016	аудитор	Майский	350,00	Арбатская
10.01.2016	аудитор	Фадеева	350,00	Студенческа
10.01.2016	аудитор	Даренко	350,00	Главный
10.01.2016	аудитор	Пупенко	350,00	Главный
10.01.2016	аудитор	Березовский	350,00	Главный
10.01.2016	аудитор	Писков	350,00	Чистые пруд
10.01.2016	аудитор	Неклюдов	350,00	Чистые пруд
10.02.2016	аудитор	Перминов	350,00	Пушкинская
10.02.2016	аудитор	Любимов	350,00	Пушкинская
10.02.2016	аудитор	Мазур	350,00	Пушкинская
10.10.2016	глава управления банком	Иванов	10000,00	Главный
10.04.2016	глава управления банком	Иванов	10000,00	Главный
10.03.2016	глава управления банком	Иванов	12000,00	Главный
10.06.2016	глава управления банком	Иванов	12000,00	Главный
10.07.2016	глава управления банком	Иванов	10000,00	Главный
10.08.2016	глава управления банком	Иванов	11000,00	Главный
10.12.2016	глава управления банком	Иванов	12000,00	Главный
10.01.2016	глава управления банком	Иванов	10000,00	Главный
10.05.2016	глава управления банком	Иванов	11000,00	Главный
10.02.2016	глава управления банком	Иванов	11000,00	Главный
10.11.2016	глава управления банком	Иванов	11000,00	Главный
10.09.2016	глава управления банком	Иванов	12000,00	Главный
10.05.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.02.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.08.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.06.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.01.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.10.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.03.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.12.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.09.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.11.2016	Главный бухгалтер	Сидоров	5000,00	Главный
10.04.2016	Главный бухгалтер	Сидоров	12000,00	Главный
10.07.2016	Главный бухгалтер	Сидоров	12000,00	Главный
10.01.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.06.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.04.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.05.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.03.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.04.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.11.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.01.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.11.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.01.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.02.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.04.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.12.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.10.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.03.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.08.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.05.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.05.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.07.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.08.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.10.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.09.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.05.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.08.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.10.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.06.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.09.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.03.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.04.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.12.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.02.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.07.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.10.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.07.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.08.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.10.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.11.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.10.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.06.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.11.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.07.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.06.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.05.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.07.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.04.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.12.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.06.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.08.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.11.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.03.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.08.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.09.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.06.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.12.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.07.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.07.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.08.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.02.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.09.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.08.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.05.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.07.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.02.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.03.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.06.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.12.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.10.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.01.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.02.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.09.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.01.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.12.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.03.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.09.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.09.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.05.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.03.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.05.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.03.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.06.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.11.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.09.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.12.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.08.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.11.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.02.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.12.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.10.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.10.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.11.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.01.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.02.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.12.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.04.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.02.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.01.2016	начальник кредитного отдела	Яговитин	700,00	Университет
10.09.2016	начальник кредитного отдела	Шелестовский	1100,00	Чистые пруд
10.04.2016	начальник кредитного отдела	Городетский	700,00	Студенческа
10.05.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.02.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.01.2016	начальник кредитного отдела	Сендик	1100,00	Главный
10.11.2016	начальник кредитного отдела	Никитина	700,00	Бибирево
10.07.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.01.2016	начальник кредитного отдела	Елоева	1100,00	Пушкинская
10.03.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.06.2016	начальник кредитного отдела	Гаряева	900,00	Арбатская
10.04.2016	начальник кредитного отдела	Костарев	700,00	Кузьминки
10.04.2016	начальник кредитного отдела	Фадеев	700,00	ВДНХ
10.06.2016	трейдер	Васин	250,00	ВДНХ
10.08.2016	трейдер	Строганова	250,00	Кузьминки
10.03.2016	трейдер	Строганова	250,00	Кузьминки
10.11.2016	трейдер	Редькин	250,00	Чистые пруд
10.11.2016	трейдер	Пономарев	250,00	Чистые пруд
10.10.2016	трейдер	Строганова	250,00	Кузьминки
10.11.2016	трейдер	Ольков	250,00	Чистые пруд
10.07.2016	трейдер	Никитина	250,00	Главный
10.08.2016	трейдер	Стрижова	250,00	Студенческа
10.05.2016	трейдер	Звездочетов	250,00	Университет
10.03.2016	трейдер	Звездочетов	250,00	Университет
10.05.2016	трейдер	Строганова	250,00	Кузьминки
10.01.2016	трейдер	Строганова	250,00	Кузьминки
10.07.2016	трейдер	Орлов	250,00	Бибирево
10.04.2016	трейдер	Никитина	250,00	Главный
10.04.2016	трейдер	Гречнев	250,00	Главный
10.11.2016	трейдер	Никитина	250,00	Главный
10.11.2016	трейдер	Пучков	250,00	Пушкинская
10.11.2016	трейдер	Гречнев	250,00	Главный
10.11.2016	трейдер	Ходаринов	250,00	Главный
10.04.2016	трейдер	Ходаринов	250,00	Главный
